Timestamp,What is your username?,What is your discord username?,What was your time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/27/2024 17:24:27,Parrot Dash,parrotdash,20:36,https://www.twitch.tv/videos/2209111601,Yes
7/27/2024 14:39:51,Appels,appelappelsappels,22:27,https://youtu.be/Og6NYyp7Axs,Yes
7/27/2024 4:22:51,Guest_,Guest_,24:25,https://youtu.be/bYjmaURZ8ig,Yes
7/26/2024 14:03:29,olive,olive__r,25:27,https://imgur.com/a/w28LUzz,Yes
7/27/2024 12:56:38,wafflemaster608,wafflemaster608,25:43,https://imgur.com/a/7Ed1SD5,Yes
7/26/2024 17:57:52,Rafix,rafix8179,26:26,https://imgur.com/a/arhGBTN,Yes
7/30/2024 8:43:57,ZKB,zkb_,27:55,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/27/2024 3:58:00,He2D,He2D,29:07,https://prnt.sc/Qzwi4Ena10Eb,Yes
7/26/2024 13:35:57,Whiskeyjack,whiskeyjack3741,29:37,https://cdn.discordapp.com/attachments/1249796816254533665/1266478922862694501/SPOILER_20240726193344_1.jpg?ex=66a54be9&is=66a3fa69&hm=28184cf7ef3f248902790e3cec424e9b997e27a6541c7ca788061818ec93b3f2&,Yes
7/27/2024 8:34:00,创世Creater,创世Creater,31:20,https://prnt.sc/6JdNHAscPK9M,Yes
7/26/2024 14:34:13,Cookie,catastrophic_cookie,31:53,https://imgur.com/gallery/csc-week-7-three-flowers-3bumIIC,Yes
7/27/2024 16:43:08,Sir Jiggle,Sir Jiggle,31:59,https://prnt.sc/5-2VejXJ3fyj,Yes
7/27/2024 20:40:47,WoahE,woahegg,32:18,https://www.twitch.tv/videos/2209259896,Yes
7/29/2024 14:01:10,Froggo,froggo____,32:44,https://prnt.sc/QQ_LZ6x34I7h,Yes
7/27/2024 3:49:00,斯塔,斯塔,33:04,https://prnt.sc/sorVtqyKe26W,Yes
7/30/2024 2:11:41,conski,conski_,33:08,https://youtu.be/-dhxQVA7CKE?si=-g-kTDnyNHBBBylv,Yes
7/30/2024 10:30:20,DataSmasher327,DataSmasher327,33:50,https://imgur.com/a/oRZlut5,Yes
7/27/2024 4:51:05,三思,三思sansi,33:56,https://www.bilibili.com/video/BV1cy411v7ur,Yes
7/30/2024 6:37:23,BS_KNK,celebes_knk,34:06,https://www.twitch.tv/videos/2209633896,Yes
