Timestamp,What is your username?,What is your discord username?,What was your last room reached + time? (view https://gamebanana.com/mods/518854 for more time instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
8/12/2024 22:04:40,ZKB,ZKB,"Room 9, 3:53:16",https://youtu.be/kLWfvq4xkps,Yes
8/12/2024 22:04:40,olive,olive__r,"Room 8, 3:27:09",https://imgur.com/a/bH9J3HM,Yes
8/12/2024 22:04:40,Appels,Appels,"Room 7, 1:36:17",https://www.youtube.com/playlist?list=PLawalL_zhrPvcOxkl9qwqBdC638QgWh0R,Yes
8/12/2024 18:06:06,Rafix,rafix#8179,"Room 7, 1:43:24",https://imgur.com/a/dgfupUH,Yes
8/11/2024 10:13:05,Cookie,catastrophic_cookie,"Room 7, 1:49:29",https://imgur.com/gallery/csc-week-8-oblivion-Zplev35,Yes
8/13/2024 12:51:52,BS_KNK,celebes_knk,"Room 7, 1:52:02",https://i.imgur.com/z6nNVEt.png,Yes
8/11/2024 3:59:05,Guest_,Guest_,"Room 7, 2:14:33",https://imgur.com/a/Xis8GTa,Yes
8/12/2024 7:47:58,Player696103392,Player696103392,"Room 7, 2:17:40",https://imgur.com/a/yODsZrB,Yes
8/11/2024 14:58:39,leiz123321,leiz123321,"Room 6, 3:13:52",https://imgur.com/a/0DvCBex,Yes
8/10/2024 0:45:51,-Undefined-,._undefined_,"Room 5, 3:01:28",https://imgur.com/a/cedTovr,Yes
8/13/2024 11:56:17,juckter,juckter,"Room 4, 35:35",https://imgur.com/a/hqiy4uj,Yes
8/13/2024 11:49:36,Scrubz,Scrubz,"Room 4, 48:51",https://youtu.be/KxxSxjtuGrE,Yes
8/12/2024 14:37:17,不记得密码,不记得密码,"Room 4, 1:00:25",https://prnt.sc/w5_xiKfynKEI,Yes
8/13/2024 14:06:47,lem,lemqns,"Room 3, 46:56",https://prnt.sc/2pzXEBglh2pL,Yes
8/12/2024 14:37:17,Moladan,Moladan,"Room 2, 2:11",https://discord.com/channels/912804360331874355/1249796816254533665/1272654888073171127,Yes
8/13/2024 7:37:27,te_79,te_79,"Room 2, 2:31",https://imgur.com/a/ZSDGV5P,Yes
8/12/2024 9:02:05,Snowdrop,Snowdrop_rikka,"Room 2, 4:50",https://imgur.com/a/Cj4TokM,Yes
8/12/2024 9:02:05,Nyan,Nyan,"Room 0, 0:00",https://gamebanana.com/mods/378028,Yes
