Timestamp,What is your username?,What is your discord username?,What was your last segment reached + jump count? (view https://gamebanana.com/mods/530394 for more time instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
8/20/2024 0:30:32,olive,olive__r,4790 Jumps,https://youtu.be/OR8LVEbSq5I,Yes
8/18/2024 11:25:19,Appels,appelsappelsappels,"Seg 8, 4678 Jumps",https://youtu.be/2_nuE_tkfXw,Yes
8/16/2024 14:56:13,Rafix,#rafix8179,"Seg 6, 4093 Jumps",https://imgur.com/a/eqkbQQt,Yes
8/20/2024 15:00:46,lem,lemqns,"Seg 6, 4432 Jumps",https://prnt.sc/K7-WQYjp8uo-,Yes
8/20/2024 13:41:41,BS_KNK,celebes_knk,"Seg 6, 4883 Jumps",https://i.imgur.com/6pT5wYH.png,Yes
8/20/2024 0:49:24,Player696103392,Player696103392,"Seg 4, 1628 Jumps",https://imgur.com/a/CTTNyta,Yes
8/20/2024 16:56:31,juckter,juckter,"Seg 2, 1787 Jumps",https://prnt.sc/AL6I4ANz-7Mp,Yes
8/18/2024 8:26:05,Guest_,Guest_,"Seg 2, 2798 Jumps",https://imgur.com/a/is44wEt,Yes
8/16/2024 22:04:53,nonoji(のの字),Non0ji,"Seg 1, 5000 Jumps",https://imgur.com/a/8OVtN8g,Yes
8/16/2024 13:27:06,Nyan,ppnyan,"Seg 1, 28 Jumps",https://gamebanana.com/mods/530394,Yes
8/19/2024 10:27:02,leiz123321,leiz123321,"Seg 1, 0 Jumps",https://imgur.com/a/V2RxPPT,Yes
