Timestamp,What is your username?,What is your discord username?,What score did you get? (view https://gamebanana.com/mods/519339 for score instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/25/2024 3:22:25,ZKB,zkb_,1046,https://youtu.be/8lIEaspzXzM,Yes
6/22/2024 15:16:00,Jicforgot,Jicforgot,1042,https://www.bilibili.com/video/BV15z421z7pk/,Yes
6/21/2024 13:57:18,yujene,yujene,1042,https://youtu.be/kZL9ziq__sI,Yes
6/22/2024 1:43:44,Luv_Cicini,Luv_Cicini,1042,www.bilibili.com/video/BV1ny411q7m6/,Yes
6/21/2024 12:50:37,juckter,juckter,1042,https://youtu.be/tvpS_CWcoSw,Yes
6/23/2024 8:27:09,BS_KNK,celebes_knk,1036,https://www.twitch.tv/videos/2179621061,Yes
6/22/2024 2:03:53,Guest_,Guest_,1034,https://imgur.com/a/4EmyUsk,Yes
6/24/2024 6:06:58,WoahE,woahegg,1034,https://www.twitch.tv/videos/2180245144,Yes
6/22/2024 3:23:00,He2D,He2D,1030,https://imgur.com/a/eVrrRJq,Yes
6/21/2024 12:37:48,Tnt_go_bang,tntgobang,1028,https://discord.com/channels/912804360331874355/1249796816254533665/1253779025311039571,Yes
6/21/2024 17:03:55,Billibix,Billibix,1028,https://prnt.sc/F-2PRDPvRXZW,Yes
6/23/2024 10:52:50,esteb74,esteb74,1028,https://imgur.com/a/ApwT55g,Yes
6/22/2024 1:49:30,olive,olive__r,1026,https://youtu.be/ALUs_aSlpaU,Yes
6/23/2024 14:38:00,桦树ovo,桦树ovo,1026,https://www.bilibili.com/video/BV1iz421z7Un/?vd_source=b53df03e226b1a7792dc35d1ad643f32,Yes
6/22/2024 15:50:10,Mars Bars,ItsMarsBars,1026,https://prnt.sc/HxCC7SoI9pOH,Yes
6/24/2024 18:06:36,pachi,ben.pachi,1024,https://prnt.sc/nvVyqSfFSbOv,Yes
6/23/2024 10:23:13,AmberBolt,amber_bolt,1022,https://imgur.com/a/4OtUX0x,Yes
6/21/2024 12:41:06,Parrot Dash,parrotdash,1020,https://prnt.sc/TuGdxeZXoJV9,Yes
