Timestamp,What is your username?,What is your discord username?,What was your final time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/8/2024 9:20:50,Parrot Dash,parrotdash,1:55,https://www.twitch.tv/videos/2245968947,Yes
9/6/2024 15:10:57,unfandemcmillen,unfandemcmillen,5:30,https://youtu.be/6MYyuZc6GHE,Yes
9/7/2024 1:40:57,Guest_,Guest_,6:57,https://youtu.be/MoD7I0n3TTE,Yes
9/11/2024 9:32:40,Appels,appelsappelsappels,6:58,https://youtu.be/wDrIck0WtOU,Yes
9/7/2024 10:50:42,BS_KNK,celebes_knk,7:56,https://i.imgur.com/soc362v.png,Yes
9/10/2024 10:01:05,ZKB,zkb_,9:13,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
9/6/2024 12:48:18,Cookie,catastrophic_cookie,9:42,https://imgur.com/gallery/csc-week-12-prologue-with-single-dash-5kT4PBG,Yes
9/8/2024 17:39:39,lem,lemqns,10:22,https://prnt.sc/hY2bNdqZ8N4b,Yes
9/6/2024 12:35:02,Whiskeyjack,whiskeyjack3741,10:23,https://cdn.discordapp.com/attachments/1249796746557521951/1281698397987930194/SPOILER_20240906192925_1.jpg?ex=66dcaa26&is=66db58a6&hm=d08b1b82da16f5d0a3cdc9764114d458fe59edf24e6307b712cbdfca58c7afc7&,Yes
9/6/2024 12:44:35,juckter,juckter,10:51,https://prnt.sc/cOz-BPgjRy0f,Yes
9/7/2024 14:54:25,ProwriterX1,prowriterx1_90472,14:30,https://www.youtube.com/watch?v=OyMYJTHfNyg,Yes
9/8/2024 0:28:42,AmberBolt,amber_bolt,16:26,https://youtu.be/E6ZyRfNcAEY,Yes
9/7/2024 14:56:36,leiz123321,leiz123321,17:33,https://imgur.com/a/8Disono,Yes
9/8/2024 3:39:52,Player696103392,Player696103392,21:10,https://imgur.com/a/JW9Io9y,Yes
9/9/2024 11:33:33,DarkLeviathan8,DarkLeviathan8,22:58,https://prnt.sc/lR4iOJGn8tMX,Yes
9/10/2024 14:25:18,NagKai,NagKai,23:43,https://discord.com/channels/912804360331874355/1249796816254533665/1283173522260103178,Yes
9/10/2024 15:15:49,Nyan,ppnyan,28:13,https://prnt.sc/OEEEa-06EHzu,Yes
9/7/2024 6:19:32,te_79,te_79,28:18,https://imgur.com/a/QGc2Co4,Yes
9/8/2024 19:19:20,Brst,Brst,28:55,https://youtu.be/sz6pVGh6bPI,Yes
9/8/2024 22:54:39,Scrubz,Scrubz,29:11,https://youtu.be/CL7jfoVOV20,Yes
9/8/2024 12:12:26,Terus,terus3289,36:30,https://prnt.sc/bzPTfdo7KnHW,Yes
9/8/2024 6:06:14,Wojowu,wojowu,39:23,https://prnt.sc/ffcLUXrDgOcX,Yes
9/7/2024 22:13:33,Pixel_Yosh,Pixel_Yosh,46:49,https://imgur.com/XylEzsE,Yes
9/8/2024 0:13:08,tsensaw,tsensaw,54:02,https://imgur.com/a/csc-submissions-tsensaw-hZ13xca,Yes
9/7/2024 13:26:45,Snowdrop,Snowdrop_rikka,1:05:02,https://imgur.com/a/oS2kEzv,Yes
9/10/2024 1:19:51,P2,P2shka,1:05:39,https://imgur.com/vI6WJQG,Yes
9/8/2024 4:39:34,Salivanth,Salivanth,1:32:52,https://prnt.sc/BCzGmTH0m-YB,Yes
9/8/2024 20:54:57,angelellipsis,angelellipsis,1:37:09,https://imgur.com/a/0E91Vky,Yes
