Timestamp,What is your username?,What is your discord username?,What was your clear time?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
9/23/2024 14:08:44,Appels,appelsappelsappels,28:55,https://youtu.be/MquI1miBhyo,Yes
9/23/2024 18:29:37,CVZen,cvzen,32:03,https://youtu.be/LkE0TWcZxms,Yes
9/22/2024 14:26:59,ZKB,zkb_,36:56,https://youtu.be/QyKOdzFjz5w,Yes
9/22/2024 2:15:25,Guest_,Guest_,32:21 (no vid),https://imgur.com/a/0ilCzCA,Yes
9/24/2024 3:55:51,BS_KNK,celebes_knk,37:28,https://i.imgur.com/lDBMjD7.png,Yes
9/23/2024 10:27:29,Whiskeyjack,whiskeyjack3741,37:48,https://cdn.discordapp.com/attachments/1249796816254533665/1287827527259262997/20240923172423_1.jpg?ex=66f2f659&is=66f1a4d9&hm=68d9b209c18f6cd9922c31f96f39db6b3f91d8bfbad830ac71d9ea725cd44a32&,Yes
9/20/2024 13:11:40,Player696103392,Player696103392,40:49,https://imgur.com/a/Q9ZztLF,Yes
9/20/2024 12:04:08,juckter,juckter,42:45,https://prnt.sc/j8hvgLyhcoMn,Yes
9/22/2024 20:25:53,Goldenfaf,goldenfaf,42:52,https://imgur.com/gallery/csc-week-14-PRIVI6W,Yes
9/21/2024 13:36:00,Bread,Bread,46:32,https://prnt.sc/W6Wzn5HIJHDv,Yes
9/23/2024 23:31:02,Ecl1psed,Ecl1psed,47:27,https://imgur.com/VyJocVO,Yes
9/23/2024 13:05:33,Toby,tc_28683,48:27,https://imgur.com/a/IY0X7Wi,Yes
9/20/2024 12:20:12,snakesphere,snakesphere,54:36,https://imgur.com/a/1Jd1vHR,Yes
9/21/2024 16:50:10,leiz123321,leiz123321,56:46,https://imgur.com/a/hywqfq0,Yes
9/20/2024 12:12:31,Adam Korinek,Adam Korinek,1:01:08,https://prnt.sc/xxYf7r2XALxY,Yes
9/21/2024 20:45:00,南冥之志,南冥之志,1:01:51,https://prnt.sc/jsw6_eVqMEsR,Yes
9/22/2024 12:21:11,NagKai,NagKai,1:05:11,https://discord.com/channels/912804360331874355/1249796816254533665/1287493517320388608,Yes
9/21/2024 14:42:00,创世Creater,创世Creater,1:07:43,https://prnt.sc/Ctn1vUpY83aK,Yes
9/20/2024 12:34:39,Pixel_Yosh,Pixel_Yosh,1:09:57,https://imgur.com/e46nxzw,Yes
9/21/2024 7:19:55,Snowdrop,Snowdrop_rikka,1:19:24,https://imgur.com/a/pu7rkUk,Yes
9/20/2024 15:34:38,Keehle,keehle,1:36:26,https://imgur.com/a/TByxdSJ,Yes
9/21/2024 14:20:00,不记得密码,不记得密码,1:37:52,https://prnt.sc/sMkEwOCgQGFT,Yes
9/20/2024 13:37:08,thehiddenninja,thehiddenninja,1:39:44,https://imgur.com/a/9l5Vp1h,Yes
9/23/2024 9:00:42,Wojowu,wojowu,1:41:53,https://prnt.sc/16e894exjlbJ,Yes
9/24/2024 2:45:01,te_79,te_79,1:52:18,https://imgur.com/a/OyAMSXI,Yes
9/21/2024 19:43:00,魔术菇,魔术菇,2:56:53,https://prnt.sc/YlqMdJdi9eW3,Yes
