Timestamp,What is your username?,What is your discord username?,What time did you get?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
6/23/2024 17:59:23,olive,olive__r,38:45,https://youtu.be/XiIlYwx1V9Q,Yes
6/22/2024 3:23:00,He2D,He2D,44:35,https://www.bilibili.com/video/BV1L1421k7RR/,Yes
6/24/2024 9:36:55,yakaki,also yakaki!!!! i forgot i was cracked this week so if i remain third i may  be   crumpled    please tell me when i lose the third place if it happens,45:59,https://i.imgur.com/mFdAXwC.png,Yes
6/21/2024 19:47:37,thebigcup,thebigcup,46:36,https://imgur.com/utgmCFF,Yes
6/21/2024 16:05:24,Parrot Dash,parrotdash,47:29,https://www.twitch.tv/videos/2177938141?t=00h59m50s,Yes
6/21/2024 14:20:47,Appels,appelsappelsappels,50:28,https://imgur.com/a/xzprOzg,Yes
6/21/2024 13:39:24,DataSmasher327,@DataSmasher327,51:47,https://imgur.com/a/uc9ikGK,Yes
6/22/2024 2:05:58,Guest_,Guest_,54:46,https://imgur.com/a/6PrsA3b,Yes
6/24/2024 18:08:01,pachi,ben.pachi,56:13,https://prnt.sc/ZwWiLJWBceGj,Yes
6/21/2024 14:08:11,Yoshachobi7,Yoshachobi7,57:01,https://www.youtube.com/live/WuVaZZR240g,Yes
6/21/2024 14:08:59,Froggo,froggo____,58:22,https://imgur.com/a/peJKBjc,Yes
6/25/2024 3:22:51,ZKB,zkb_,58:35,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
6/23/2024 0:07:00,Jicforgot,Jicforgot,58:59,https://www.bilibili.com/video/BV1vb421H731/,Yes
6/23/2024 8:34:01,BS_KNK,celebes_knk,1:00:10,https://www.twitch.tv/videos/2179622865,Yes
6/21/2024 14:58:50,Tnt_go_bang,tntgobang,1:05:06,https://www.youtube.com/watch?v=yuRj9yS7JlQ,Yes
6/21/2024 14:40:47,toneblock,toneblock,1:05:38,https://prnt.sc/BF_KWvfyT4YL,Yes
6/22/2024 17:13:46,a_jojo_weeb,ajojoweeb,1:07:14,https://imgur.com/a/xUsyD8r,Yes
6/22/2024 14:48:00,DSS,DSS,1:09:22,https://prnt.sc/aLwIrYUnSgQLhttps://prnt.sc/aLwIrYUnSgQL,Yes
6/21/2024 21:38:42,Firework,@vuurwerkgd,1:12:33,https://discord.com/channels/912804360331874355/1249796816254533665/1253916399190147284,Yes
6/21/2024 17:37:27,Nebulae,Tychos_nova,1:12:53,https://imgur.com/a/bEpfmUa,Yes
6/24/2024 14:55:43,unfandemcmillen,unfandemcmillen,1:12:56,https://imgur.com/a/gLvMfxd,Yes
6/23/2024 20:54:00,Scrubz,Scrubz,1:14:47,https://youtu.be/KIb4JHoOjsY,Yes
6/22/2024 17:25:00,Breaker-K,Breaker-K,1:14:53,https://prnt.sc/edvenff_cyKv,Yes
6/23/2024 14:42:00,桦树ovo,桦树ovo,1:16:13,https://www.bilibili.com/video/BV1ri421e7h6/?vd_source=b53df03e226b1a7792dc35d1ad643f32,Yes
6/21/2024 14:36:02,dicegeist,dicegeist,1:16:40,https://prnt.sc/vJgMrJmpJYUV,Yes
6/22/2024 16:26:00,nma5,nma5,1:17:44,https://prnt.sc/aa7y7f_BziLj,Yes
6/21/2024 14:19:53,YeetTheTable,YeetTheTable,1:17:47,https://imgur.com/a/6ehWWlb,Yes
6/21/2024 14:25:46,sadisyourlife,sadisyourlife.,1:18:12,https://gyazo.com/b5642ebc97ab2e28dc87ee5efd6f554d,Yes
6/21/2024 14:50:19,juckter,juckter,1:18:15,https://youtu.be/n8WIRqUOPvs,Yes
6/22/2024 1:48:04,OSoverspike,osoverspike,1:18:48,https://youtu.be/q6nAmXhB7JE,Yes
6/25/2024 0:56:51,Lumium,lugunium,1:19:33,https://imgur.com/a/csc-celeste-sightreading-competition-week-2-map-2-8k3zmNb,Yes
6/21/2024 13:51:55,Eeva,eeva_x,1:20:56,https://prnt.sc/rBRkC9xz6DYF,Yes
6/22/2024 13:30:00,猪脑子,猪脑子,1:27:51,https://prnt.sc/8PghPkNwH7Wb,Yes
6/22/2024 20:29:00,Bread,Bread,1:28:22,https://prnt.sc/Hi1S-qTDV5Jt,Yes
6/22/2024 15:15:00,SheKong,SheKong,1:34:17,https://prnt.sc/rL_Ry6cWKP4G,Yes
6/22/2024 13:48:00,寂冷qing淡,寂冷qing淡,1:35:48,https://prnt.sc/5lmXuAa2yYVX,Yes
6/21/2024 15:16:54,leiz123321,leiz123321,1:35:57,https://imgur.com/leiz123321-hold-grab-to-shmove-2VBuywN,Yes
6/21/2024 15:11:48,Goldenfaf,Goldenfaf,1:36:06,https://discord.com/channels/912804360331874355/1249796816254533665/1253819431692533814,Yes
6/22/2024 12:55:00,啊鸿呀i,啊鸿呀i,1:36:43,https://prnt.sc/1NrDyQM90seL,Yes
6/22/2024 16:23:02,Sir Jiggle,Sir Jiggle,1:46:07,https://prnt.sc/igxc9M_76K5r,Yes
6/21/2024 14:52:48,snakesphere,snakesphere,1:46:37,https://imgur.com/a/usRVOlI,Yes
6/23/2024 9:48:05,ethio,ethio_,1:47:29,https://imgur.com/a/7FyhVRw,Yes
6/25/2024 4:39:58,Elekitu,elekitu,1:51:06,https://imgur.com/a/VDwdPHM,Yes
6/23/2024 23:30:07,DuckUwU,DuckUwU,1:51:45,https://imgur.com/a/laQRGEt,Yes
6/21/2024 15:01:04,nonoji(のの字),Non0ji,1:52:11,https://imgur.com/a/URF0oXf,Yes
6/22/2024 10:42:33,Player696103392,Player696103392,1:58:11,https://imgur.com/a/pRRr2xQ,Yes
6/24/2024 8:24:08,B1ackZer0,B1ackZer0,2:01:02,https://imgur.com/a/bNGpLhR,Yes
6/21/2024 15:45:57,tart,tart1997,2:02:21,https://imgur.com/a/x7eAnMe,Yes
6/22/2024 15:40:00,zhujiao,zhujiao,2:02:51,https://prnt.sc/lKTFTTp36imY,Yes
6/22/2024 12:56:15,te_79,te_79,2:07:17,https://imgur.com/ZlFFD72,Yes
6/21/2024 16:09:46,burgerhex,burgerhex,2:11:03,https://imgur.com/a/RXG0EX4,Yes
6/22/2024 10:08:43,eNiko,.eclaire.,2:19:35,https://imgur.com/a/TleTlXf,Yes
6/22/2024 11:06:00,不可逆,不可逆,2:19:54,https://www.bilibili.com/video/BV15y411q7o1/?p=2,Yes
6/22/2024 4:36:00,AppleSheep,AppleSheep,2:20:58,https://prnt.sc/Cx-DKIoFeuPM,Yes
6/24/2024 19:19:45,PotatoJones,potatojoness,2:27:53,https://imgur.com/a/DXo0ouF,Yes
6/22/2024 14:30:00,没事儿爱唱歌,没事儿爱唱歌,2:29:06,https://prnt.sc/5lmXuAa2yYVX,Yes
6/21/2024 15:11:48,Dector,Dector_,2:39:17,https://imgur.com/a/127KWKb,Yes
6/23/2024 17:51:12,Brackets,brackets___,2:59:33,https://prnt.sc/1ULb7Mkf_562,Yes
6/22/2024 15:49:11,SRN,srn_rl,3:02:14,https://imgur.com/a/l0d6tOG,Yes
6/22/2024 1:32:09,Snowdrop,Snowdrop_rikka,3:11:43,https://imgur.com/a/TWz5WNN,Yes
6/22/2024 6:31:51,Wojowu,wojowu,3:16:38,https://prnt.sc/S0BzP6lXqgdu,Yes
6/24/2024 23:51:41,Pip,pipadmin,4:42:53,https://imgur.com/a/PmniMQN,Yes
6/24/2024 6:40:53,kalypso,khallypso_,7:40:51,https://imgur.com/gallery/csc-2-hold-grab-to-shmove-DPvhm8X,Yes
