Timestamp,What is your username?,What is your discord username?,How many deaths did you get?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
10/12/2024 0:03:44,Cookie,catastrophic_cookie,143,https://youtu.be/DlFFGv4k-Qc ,Yes
10/13/2024 14:08:59,Appels,appelsappelsappels,148,https://youtu.be/7pjOXREADsM,Yes
10/16/2024 11:40:44,CrèmeBrûlée,cremebrulees,235,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
10/12/2024 20:05:59,Guest_,Guest_,183 (no vid),https://imgur.com/a/HMaAuX0,Yes
10/16/2024 20:08:17,Parrot Dash,Parrot Dash,287,https://www.twitch.tv/videos/2278214007,Yes
10/12/2024 9:42:45,Bread,Bread,295,https://prnt.sc/1Qg-mGbIG3Mf,Yes
10/12/2024 10:12:41,unfandemcmillen,unfandemcmillen,310,https://imgur.com/a/uqO7dfa,Yes
10/13/2024 3:18:51,juckter,juckter,315,https://prnt.sc/BunElffTXxr2,Yes
10/12/2024 6:56:52,Whiskeyjack,whiskeyjack3741,438,https://cdn.discordapp.com/attachments/1249796816254533665/1294387663197179965/SPOILER_20241011194906_1.jpg?ex=670b7cb3&is=670a2b33&hm=0c6a15f97c410a539ef41a02a2a99025c5a4b18db4a427fabb5c3db00457a494&,Yes
10/14/2024 15:53:01,ProwriterX1,prowriterx1_90472,535,https://www.youtube.com/playlist?list=PLAreyC6noSIU-Olp8ITOEYOnVnbtsPsQL,Yes
10/11/2024 20:22:06,NagKai,NagKai,726,https://discord.com/channels/912804360331874355/1249796816254533665/1294500150017785907,Yes
10/16/2024 20:08:17,Goldenfaf,Goldenfaf,780,https://imgur.com/a/W0Ab0hd,Yes
10/15/2024 15:48:42,Pixel_Yosh,Pixel_Yosh,799,https://imgur.com/KGoq8up,Yes
10/12/2024 12:38:28,Player696103392,Player696103392,841,https://imgur.com/a/RNXGFL2,Yes
10/14/2024 20:51:33,resverie,ditto_resverie,1455,https://imgur.com/a/T3h53cz,Yes
10/12/2024 9:42:45,Snowdrop,Snowdrop_rikka,1838,https://imgur.com/a/pNrVhTr,Yes
