Timestamp,What is your username?,What is your discord username?,What was your score? (view https://gamebanana.com/mods/519387 for more calculation instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/7/2024 3:48:34,ZKB,zkb_,968.5,https://youtu.be/qgQv5D_tYzI?si=wvRUYsQNinUFCv3H,Yes
7/7/2024 0:21:57,olive,olive__r,947.5,https://imgur.com/a/v0Ne5xD,Yes
7/8/2024 15:43:25,Appels,appelsappelsappels,945.5,https://youtu.be/cuonN3-g4TM,Yes
7/5/2024 22:59:10,Guest_,Guest_,944.5,https://imgur.com/a/RabiW3j,Yes
7/5/2024 14:55:13,Viv,vividescence,944.5,https://imgur.com/a/LNdP6RN,Yes
7/5/2024 13:15:36,Whiskeyjack,whiskeyjack3741,942,https://cdn.discordapp.com/attachments/1249796816254533665/1258856447576637501/SPOILER_20240705184539_1.jpg?ex=668990ed&is=66883f6d&hm=cd15c05f2eedf19ea9d0bd29950eae09399310f892dc9e1f26fd034072795b84&,Yes
7/8/2024 10:14:10,pachi,ben.pachi,925.5,https://prnt.sc/Kf8P5etk7NkL,Yes
7/5/2024 14:24:59,Parrot Dash,parrotdash,923,https://prnt.sc/rYGxTSeAp_Yc,Yes
7/9/2024 11:39:28,Scrubz,Scrubz,918.5,https://youtu.be/St6cTEwa3_g,Yes
7/9/2024 14:23:48,NCG,NCG337,916,https://youtu.be/f9PlYDf39EA,Yes
7/9/2024 14:23:48,yakaki,yakaki,914,https://imgur.com/a/oaS3cYg,Yes
7/5/2024 18:17:30,juckter,juckter,910.5,https://www.youtube.com/watch?v=x7h0D-EujbM,Yes
7/5/2024 13:17:34,Froggo,froggo____,908,https://imgur.com/a/EAqXYZ1,Yes
7/8/2024 14:54:00,BS_KNK,celebes_knk,906.5,https://www.youtube.com/watch?v=erqrp3qWmos,Yes
7/6/2024 1:20:06,三思,三思sansi,904,https://www.bilibili.com/video/BV1yi421Y7zx/,Yes
7/5/2024 17:52:31,yujene,yujene,898,https://imgur.com/a/yujene-csc-week-4-wLLMTxM,Yes
7/5/2024 14:25:11,Tnt_go_bang,tntgobang,896.5,https://imgur.com/a/VX92JY1,Yes
7/7/2024 16:29:58,Sapphire_Xer0,Sapphire_Xer0,888.5,https://imgur.com/csV5FeA,Yes
7/5/2024 14:01:17,Firework,@vuurwerkgd,888,https://discord.com/channels/912804360331874355/1249796816254533665/1258874928032125118,Yes
7/9/2024 3:13:30,Lumium,lugunium,884,https://imgur.com/a/0fhJLOc,Yes
7/5/2024 22:14:14,Nene,nene22,882,https://prnt.sc/wG8lrxIIND23,Yes
7/9/2024 1:50:19,Sir Jiggle,Sir Jiggle,880.5,https://prnt.sc/7kb1sbcd1Wla,Yes
7/5/2024 13:18:41,YeetTheTable,YeetTheTable,879.5,https://imgur.com/a/acQfWSw,Yes
7/8/2024 14:01:12,shiige,shiige (shii_ge),877,https://imgur.com/8i39Uiy,Yes
7/7/2024 14:55:36,lem,lemqns,872,https://prnt.sc/-0zTG1m3DEmL,Yes
7/6/2024 10:36:42,Rainbow,rainbow._,871,https://discord.com/channels/912804360331874355/1249796816254533665/1259185970046308513,Yes
7/5/2024 23:23:55,DataSmasher327,@DataSmasher327,867.5,https://imgur.com/a/PxWt5iD,Yes
7/5/2024 18:58:51,burgerhex,burgerhex,867,https://imgur.com/a/rUUoolw,Yes
2024/7/9 19:51,Bread,Bread,865,https://imgur.com/a/1zadF4G,Yes
7/5/2024 13:16:05,Adam Korinek,Adam Korinek,862,https://prnt.sc/Jw7JwjFKZkOG,Yes
7/5/2024 16:42:30,Blacklight,blacklight_____,862.5,https://imgur.com/a/T7cceTs,Yes
7/5/2024 13:19:20,sadisyourlife,sadisyourlife.,859,https://gyazo.com/553b1d2cbee4a8d9d325ef3464a741a0,Yes
7/5/2024 13:15:26,leiz123321,leiz123321,856,https://imgur.com/a/leiz123321-sadness-underhang-5Lj7gHm,Yes
7/5/2024 14:13:18,Dogchamp,kappapa,855.5,https://prnt.sc/hWrnB4xX_JE6,Yes
7/5/2024 13:26:07,Lit towel,littowel,852.5,https://imgur.com/a/6AlVfRN,Yes
7/5/2024 20:42:52,Jitio,Jitio,852,https://www.twitch.tv/videos/2190289291,Yes
7/6/2024 7:34:05,OSoverspike,osoverspike,851,https://youtu.be/60__DDGx7sk,Yes
7/9/2024 6:21:16,nonoji(のの字),Non0ji,846.5,https://imgur.com/a/DYQESZm,Yes
2024/7/6 14:31,没事儿爱唱歌,没事儿爱唱歌,846,https://imgur.com/a/g4bGAo5,Yes
7/9/2024 15:21:45,B1ackZer0,B1ackZer0,844.5,https://imgur.com/a/Q6C6QrH,Yes
7/5/2024 13:14:39,Nyan,ppnyan,838,https://prnt.sc/AA7Eq85R-SFr,Yes
7/5/2024 13:30:45,Pixel_Yosh,pixel_yosh,836.5,https://imgur.com/2q5NROI,Yes
2024/7/6 16:26,SheKong,SheKong,831.5,https://imgur.com/a/3tcYraT,Yes
2024/7/6 8:22,mogmo,mogmo,826.5,https://imgur.com/a/H3jovwN,Yes
2024/7/6 12:36,不记得密码,不记得密码,825,https://imgur.com/a/a1BZLOc,Yes
7/5/2024 13:50:58,Esteban24,Esteban24,820,https://imgur.com/a/YtlpFrc,Yes
7/6/2024 1:13:58,Feesh,pufferfeesh_,818,https://imgur.com/a/D1hMuUz,Yes
7/6/2024 0:27:14,autumn890,autumn890,805.5,https://imgur.com/a/Qr4ytbh,Yes
7/5/2024 14:34:12,GlerG,glerg,799,https://imgur.com/a/MHfmqKB,Yes
7/5/2024 14:34:12,catgoose,catgoose,788.5,https://imgur.com/a/3GLM7IV,Yes
2024/7/6 9:08,zhujiao,zhujiao,785.5,https://imgur.com/a/lJhwXGk,Yes
7/5/2024 14:55:26,Vincent,i.am.vincent,784,https://imgur.com/a/5RZfUne,Yes
7/9/2024 12:46:25,Brackets,brackets___,782,https://prnt.sc/VVaHF06nPOR0,Yes
7/5/2024 18:24:08,apeirocell,apeirocell,764,https://prnt.sc/d65sbxG67uzO,Yes
7/5/2024 23:12:07,Dampseeker,dampseeker,763,https://prnt.sc/OsjxN1DHbt4D,Yes
7/8/2024 17:05:33,NagKai,NagKai,744,https://discord.com/channels/912804360331874355/1249796816254533665/1260008062186422342,Yes
7/6/2024 9:51:45,te_79,te_79,742,https://imgur.com/a/EYRuG2y,Yes
2024/7/6 12:58,创世Creater,创世Creater,730.5,https://imgur.com/a/qks6oBU,Yes
7/6/2024 10:23:20,Snowdrop,Snowdrop_rikka,694.5,https://imgur.com/a/DLmLoB6,Yes
7/5/2024 20:47:22,Volan,volan100,680,https://imgur.com/a/4viVUeJ,Yes
7/8/2024 16:51:52,Pip,pipadmin,674,https://imgur.com/a/Yebe35e,Yes
7/5/2024 14:41:36,Wojowu,wojowu,670.5,https://prnt.sc/ysnffjzo1CRt,Yes
2024/7/6 12:34,不可逆,不可逆,656,https://www.bilibili.com/video/BV1jw4m1Y7eG/?p=2,Yes
7/9/2024 14:37:49,Logic Matthew,logic_matthew,636.5,https://drive.google.com/drive/folders/1khoLIIg4o8k3iOQ3SuBK3Bi7bWM09z5i?usp=sharing,Yes
7/7/2024 4:46:53,Player696103392,Player696103392,622.5,https://imgur.com/a/W9Uwp7v,Yes
7/6/2024 6:35:44,kinota3,kinota3,338.5,https://imgur.com/a/V1Ruoie,Yes
