Timestamp,What is your username?,What is your discord username?,What was your time? (view https://gamebanana.com/mods/519956 for more time instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/12/2024 12:46:12,olive,olive__r,-5:27,https://imgur.com/a/DBZZE5W,Yes
7/14/2024 15:07:01,Appels,appelsappelsappels,-4:44,https://youtu.be/IznIwKvfaRI,Yes
7/14/2024 11:44:25,WoahE,woahegg,-4:16,https://www.twitch.tv/videos/2197582953,Yes
7/12/2024 14:25:50,Tnt_go_bang,tntgobang,-2:59,https://imgur.com/a/mvu70oc,Yes
7/13/2024 13:06:14,fonda1515,fonda151,-2:55,https://imgur.com/JVRBNGW,Yes
7/13/2024 2:46:41,Guest_,Guest_,-2:50,https://imgur.com/a/Gjh1RZZ,Yes
7/16/2024 13:30:50,BS_KNK,celebes_knk,-2:32,https://i.imgur.com/mQgCFzW.png,Yes
7/14/2024 17:48:00,Parrot Dash,parrotdash,-2:09,https://prnt.sc/dMXnmRsgHKnH,Yes
7/14/2024 13:00:42,ZKB,zkb_,-1:51,https://imgur.com/a/celeste-sightreading-competition-AvOiFAl,Yes
7/12/2024 12:46:48,CVZen,cvzen,-1:46,https://imgur.com/a/oYQKEsr,Yes
7/13/2024 3:12:33,三思,三思sansi,-0:16,https://www.bilibili.com/video/BV1UT421r7g3,Yes
7/12/2024 19:09:45,rilp_,rilp_,0:52,https://imgur.com/a/PHCjARt,Yes
7/12/2024 12:45:00,Yoshachobi7,Yoshachobi7,1:20,https://www.youtube.com/watch?v=KiZTMxjXWnk,Yes
7/15/2024 9:25:55,Nyan,ppnyan,1:33,https://prnt.sc/cQI3H8omrO6-,Yes
7/14/2024 16:13:28,yujene,yujene,1:41,https://imgur.com/a/R9RasB8,Yes
7/14/2024 8:42:55,Nene,nene22,2:49,https://prnt.sc/ktIixaZCHznS,Yes
7/16/2024 14:11:13,juckter,juckter,2:50,https://imgur.com/a/ANNJUz3,Yes
2024/7/13 14:49,Winterline,Winterline,3:49,https://imgur.com/a/JGdv6MB,Yes
7/16/2024 10:52:11,pachi,ben.pachi,4:22,https://imgur.com/a/7FcsbDx,Yes
2024/7/13 4:00,He2D,He2D,4:32,https://imgur.com/a/p6I3J3K,Yes
7/12/2024 12:44:39,Whiskeyjack,whiskeyjack3741,4:35,https://cdn.discordapp.com/attachments/1249796816254533665/1261392420831101041/SPOILER_20240712184148_1.jpg?ex=6692cabc&is=6691793c&hm=02b705a5a8a2c124879559ded863d1db96c214471eec17f4c8db1b4aad3e0711&,Yes
2024/7/13 17:17,Bread,Bread,5:08,https://imgur.com/a/zzSbERQ,Yes
7/14/2024 6:59:28,ArvingoPro,ArvingoPro,6:18,https://imgur.com/a/QyryQOe,Yes
7/12/2024 20:41:03,lem,lemqns,7:13,https://prnt.sc/GgAMf93A4sEe     https://prnt.sc/bv2w3o1DIojM,Yes
7/13/2024 15:21:41,Nebulae,Tychos_Nova,7:30,https://imgur.com/a/A9WzdSb,Yes
7/15/2024 3:28:42,OSoverspike,osoverspike,7:54,https://youtu.be/TRiK76H5Ljo,Yes
7/16/2024 13:24:16,Scrubz,Scrubz,7:59,https://youtu.be/y6slnG9Mt40,Yes
7/13/2024 16:38:12,Viv,vividescence,8:04,https://imgur.com/a/MwnNR95,Yes
2024/7/13 13:10,没事儿爱唱歌,没事儿爱唱歌,8:09,https://imgur.com/a/Z7VcQ6h,Yes
2024/7/13 13:48,SheKong,SheKong,8:14,https://imgur.com/a/EkHeNRW,Yes
7/14/2024 16:00:47,leiz123321,leiz123321,9:14,https://youtu.be/J8FYGm379fU,Yes
7/13/2024 0:16:24,Ecl1psed,Ecl1psed,9:31,https://imgur.com/WJL1vuS,Yes
2024/7/13 13:57,啊鸿呀i,啊鸿呀i,9:51,https://imgur.com/a/dcJvEHI,Yes
7/12/2024 14:43:54,Rainbow,rainbow._,10:27,https://imgur.com/a/s2OH5wA,Yes
2024/7/13 13:31,mogmo,mogmo,10:48,https://imgur.com/a/yxgVIye,Yes
7/16/2024 14:11:13,Froggo,froggo____,11:09,https://prnt.sc/jwESW9zxdGYB,Yes
2024/7/13 12:40,nma5,nma5,11:12,https://imgur.com/a/mEPvRxW,Yes
